area,rooms,bathroom,parking spaces,floor,hoa,rent amount,property tax,fire insurance,total
240,3,3,4,0,0,8000,1000,121,9121
64,2,1,1,10,540,820,122,11,1493
443,5,5,4,3,4172,7000,1417,89,12680
73,2,2,1,12,700,1250,150,16,2116
19,1,1,0,0,0,1200,41,16,1257
13,1,1,0,2,0,2200,42,28,2270
55,1,1,1,2,1950,5000,375,64,7389
55,2,2,1,2,600,1300,67,17,1984
82,3,1,1,3,828,2000,109,26,2963
32,1,1,1,16,533,2900,0,37,3470
60,1,1,0,6,480,720,20,10,1230
64,1,2,1,4,406,1550,0,7,1963
20,1,1,0,4,602,1800,130,23,2555
375,4,5,5,1,4793,15000,2805,191,22790
92,2,1,1,7,690,3950,0,51,4691
56,2,1,1,1,345,950,11,13,1319
188,2,3,8,0,0,3010,584,46,3640
100,3,2,1,0,0,3500,260,53,3813
192,3,3,2,13,2100,7800,634,99,10630
93,3,2,1,10,1497,3500,227,45,5269
155,3,3,2,0,0,2650,233,40,2923
80,2,2,0,9,600,2550,46,33,3229
65,2,2,2,14,907,3500,0,45,4452
320,3,3,4,0,0,9000,1000,136,10140
180,3,5,3,3,2900,8100,0,103,11100
31,1,1,1,4,272,3200,64,41,3577
105,4,2,2,3,1659,6500,400,83,8642
300,3,4,2,9,2000,14000,1084,178,17260
150,3,2,2,13,1370,1800,250,23,3443
130,3,3,2,0,0,6000,84,91,6175
70,2,1,0,1,521,3000,50,39,3610
120,3,1,4,0,0,3500,234,53,3787
250,3,4,2,0,300,3480,360,53,4193
50,1,1,0,1,325,1550,25,20,1920
240,3,3,3,3,4132,3800,952,49,8933
250,4,4,2,0,0,6600,0,100,6700
94,3,3,2,1,750,2200,192,28,3170
176,3,4,3,4,1600,6500,775,83,8958
180,3,4,5,0,0,3300,266,50,3616
191,3,3,4,1,2605,15000,1299,191,19100
25,1,1,0,14,257,1698,0,22,1977
800,4,5,4,9,6000,15000,3334,191,24530
340,3,4,3,0,0,9800,392,148,10340
90,2,1,0,0,0,1450,50,22,1522
650,5,4,8,0,0,8500,442,128,9070
100,2,2,0,1,0,2700,265,35,3000
230,4,4,4,1,2300,13500,1084,172,17060
190,2,3,2,0,0,13050,1284,197,14530
205,4,4,6,5,2450,2720,959,35,6164
96,3,3,2,8,866,1790,90,23,2769
396,4,4,4,0,0,10000,750,151,10900
74,3,2,1,7,650,1600,250,21,2521
30,1,1,0,5,380,500,10,7,897
64,3,2,1,7,522,1400,65,18,2005
105,3,2,2,1,1544,7800,488,99,9931
50,1,2,1,10,1050,5900,259,75,7284
60,2,1,0,3,400,1300,0,17,1717
50,2,1,1,6,585,2000,49,26,2660
90,2,2,0,0,0,1700,38,26,1764
130,3,2,1,8,1200,7500,417,96,9213
20,1,1,0,1,0,1950,0,25,1975
400,4,3,2,0,0,5650,338,85,6073
220,3,3,5,0,0,7500,0,113,7613
750,7,6,5,0,0,5800,559,88,6447
20,1,1,0,0,602,1800,130,23,2555
140,3,2,2,15,998,2100,283,27,3408
22,1,1,0,0,250,1080,14,14,1358
345,2,3,2,4,3655,12000,783,153,16590
46,2,1,1,3,250,1100,53,5,1408
35,1,1,1,2,550,3250,30,42,3872
72,2,2,1,2,500,1200,97,16,1813
60,1,1,2,2,3398,1900,288,25,5611
180,3,2,4,0,0,11000,667,166,11830
83,3,2,1,9,805,3300,80,42,4227
50,1,1,0,1,519,1550,28,20,2117
38,1,1,1,14,1620,3020,279,39,4958
140,3,3,2,2,1300,2800,292,36,4428
62,2,1,1,3,485,980,48,13,1526
70,1,1,0,2,1500,4000,284,51,5835
55,1,1,0,14,600,1100,60,14,1774
60,2,1,1,1,430,815,20,6,1271
85,2,2,1,6,1250,1738,261,23,3272
134,3,3,3,11,1655,8000,380,102,10140
200,3,2,2,19,2573,10000,1121,127,13820
170,3,2,2,0,0,3900,267,59,4226
46,1,1,2,16,2210,6220,255,79,8764
20,1,1,0,4,602,1800,130,23,2555
58,2,2,1,5,1000,4500,144,58,5702
96,3,2,3,4,1024,2350,313,30,3717
190,3,3,3,6,3000,13000,84,165,16250
