payment_type,payment_installments,payment_value
credit_card,8,99.33
credit_card,1,24.39
credit_card,1,65.71
credit_card,8,107.78
credit_card,2,128.45
credit_card,2,96.12
credit_card,1,81.16
credit_card,3,51.84
credit_card,6,341.09
boleto,1,51.95
credit_card,8,188.73
credit_card,1,141.9
credit_card,1,75.78
credit_card,5,102.66
credit_card,4,105.28
credit_card,10,157.45
credit_card,1,132.04
credit_card,1,98.94
credit_card,4,244.15
credit_card,3,136.71
credit_card,4,47.69
credit_card,2,170.57
credit_card,4,67.5
credit_card,10,353.09
boleto,1,330.66
voucher,1,45.17
credit_card,2,541.0
credit_card,2,139.22
credit_card,2,290.16
boleto,1,283.34
credit_card,1,13.78
credit_card,1,30.28
credit_card,1,26.58
credit_card,1,89.68
credit_card,1,65.09
credit_card,1,173.84
credit_card,1,103.49
credit_card,1,64.03
credit_card,3,157.15
boleto,1,130.88
credit_card,2,47.72
credit_card,8,117.74
boleto,1,56.6
credit_card,1,266.16
boleto,1,31.38
credit_card,1,121.49
credit_card,1,32.0
credit_card,5,153.41
credit_card,5,65.71
credit_card,4,278.22
credit_card,4,91.66
credit_card,1,132.51
credit_card,4,542.66
boleto,1,166.04
boleto,1,368.98
credit_card,2,113.2
credit_card,3,99.43
credit_card,2,27.35
credit_card,4,43.77
credit_card,2,68.49
credit_card,2,105.53
credit_card,8,387.8
boleto,1,84.14
credit_card,4,210.82
boleto,1,90.05
credit_card,1,67.88
credit_card,2,37.58
boleto,1,89.63
voucher,1,69.46
credit_card,2,78.3
voucher,1,50.8
credit_card,1,34.0
boleto,1,77.1
credit_card,5,566.4
credit_card,8,402.42
voucher,1,57.53
credit_card,3,44.01
credit_card,3,187.51
credit_card,3,77.7
credit_card,1,48.68
credit_card,1,77.29
credit_card,8,117.71
credit_card,3,169.34
credit_card,1,37.61
credit_card,1,13.8
debit_card,1,227.12
credit_card,3,34.78
credit_card,10,342.56
credit_card,7,73.34
credit_card,4,117.85
credit_card,1,48.62
credit_card,1,53.99
credit_card,1,51.14
credit_card,2,121.45
credit_card,1,73.34
credit_card,10,117.68
credit_card,1,56.77
credit_card,2,115.59
credit_card,6,60.07
credit_card,1,27.27
boleto,1,32.15
credit_card,3,195.71
voucher,1,43.12
credit_card,1,88.49
credit_card,3,34.09
credit_card,1,40.99
credit_card,3,71.99
boleto,1,47.0
credit_card,3,81.78
credit_card,3,231.45
credit_card,7,144.2
debit_card,1,35.14
credit_card,10,285.79
credit_card,2,176.7
credit_card,2,27.63
credit_card,8,134.56
credit_card,4,96.98
credit_card,2,110.03
credit_card,1,17.78
credit_card,1,44.0
credit_card,4,110.11
voucher,1,22.49
credit_card,4,46.63
boleto,1,52.21
credit_card,2,61.77
boleto,1,121.88
credit_card,1,75.75
credit_card,1,130.22
credit_card,3,57.53
credit_card,7,76.02
boleto,1,90.17
credit_card,1,31.0
credit_card,10,106.77
voucher,1,163.25
boleto,1,233.66
credit_card,1,163.08
credit_card,4,135.93
credit_card,1,267.05
credit_card,7,186.72
voucher,1,30.0
credit_card,4,97.28
credit_card,1,48.61
boleto,1,116.7
credit_card,1,41.42
boleto,1,42.19
credit_card,6,125.53
credit_card,5,92.76
credit_card,8,348.02
credit_card,2,203.3
credit_card,3,44.35
credit_card,10,116.05
boleto,1,85.14
credit_card,4,236.66
credit_card,4,220.3
credit_card,1,180.55
boleto,1,45.46
boleto,1,26.08
credit_card,1,375.74
credit_card,5,123.41
credit_card,10,379.07
credit_card,10,2027.16
credit_card,1,45.5
credit_card,1,91.17
boleto,1,93.26
voucher,1,30.0
credit_card,10,165.96
voucher,1,50.0
credit_card,10,1002.73
boleto,1,116.56
credit_card,2,240.52
credit_card,3,33.13
credit_card,1,213.9
credit_card,8,362.17
credit_card,2,88.72
credit_card,2,46.85
boleto,1,68.54
boleto,1,32.62
credit_card,8,340.08
boleto,1,82.06
credit_card,1,40.95
credit_card,3,67.01
voucher,1,20.0
voucher,1,76.9
credit_card,4,40.27
credit_card,8,242.1
boleto,1,207.24
credit_card,2,215.56
credit_card,1,39.92
credit_card,8,156.09
credit_card,2,131.5
boleto,1,137.73
credit_card,1,31.75
credit_card,8,348.77
credit_card,1,12.22
credit_card,4,139.87
credit_card,12,257.1
credit_card,3,269.46
credit_card,1,40.0
credit_card,10,350.09
credit_card,6,134.55
credit_card,3,112.73
boleto,1,72.05
credit_card,1,0.67
credit_card,2,77.77
credit_card,2,26.68
credit_card,1,371.42
credit_card,6,225.71
credit_card,3,103.79
boleto,1,65.0
voucher,1,69.8
voucher,1,20.09
credit_card,1,125.41
boleto,1,95.99
credit_card,2,25.33
credit_card,1,52.57
credit_card,2,145.58
credit_card,3,49.7
credit_card,1,47.43
credit_card,2,168.57
credit_card,1,133.81
voucher,1,1.23
boleto,1,123.82
credit_card,3,283.66
credit_card,1,89.88
boleto,1,32.38
credit_card,1,43.08
credit_card,1,254.58
voucher,1,48.91
credit_card,4,48.22
credit_card,6,67.58
credit_card,10,311.18
credit_card,4,154.14
credit_card,2,333.68
boleto,1,404.88
boleto,1,44.77
voucher,1,1302.42
credit_card,10,645.8
credit_card,1,186.39
credit_card,10,208.41
debit_card,1,76.39
credit_card,2,67.42
credit_card,4,232.05
boleto,1,69.33
credit_card,3,641.2
boleto,1,41.86
voucher,1,50.0
credit_card,1,106.96
credit_card,10,2288.31
boleto,1,69.9
boleto,1,88.08
credit_card,4,117.39
debit_card,1,194.91
debit_card,1,68.89
credit_card,2,151.51
credit_card,1,54.85
credit_card,1,103.68
debit_card,1,225.63
boleto,1,39.6
credit_card,10,159.18
credit_card,1,234.43
boleto,1,44.83
credit_card,4,205.44
credit_card,1,13.55
credit_card,1,221.96
credit_card,1,52.38
credit_card,9,131.47
credit_card,2,38.06
voucher,1,35.0
credit_card,3,143.65
credit_card,3,86.73
credit_card,5,118.35
credit_card,1,341.58
credit_card,2,105.42
credit_card,4,68.16
credit_card,10,357.97
voucher,1,2.99
boleto,1,92.57
credit_card,2,68.35
credit_card,13,197.23
credit_card,3,153.67
credit_card,3,46.43
credit_card,4,102.03
credit_card,5,119.45
credit_card,1,44.23
credit_card,1,67.5
voucher,1,8.75
credit_card,2,44.27
credit_card,1,37.15
credit_card,2,114.13
credit_card,1,396.97
credit_card,10,185.85
credit_card,3,62.11
credit_card,2,25.23
credit_card,5,153.22
debit_card,1,145.01
boleto,1,70.89
credit_card,6,114.34
credit_card,2,31.38
credit_card,5,256.5
boleto,1,341.4
credit_card,1,143.99
voucher,1,84.88
credit_card,8,232.27
credit_card,5,194.0
credit_card,1,260.57
credit_card,1,49.59
credit_card,3,196.55
boleto,1,245.94
voucher,1,72.42
credit_card,2,217.15
credit_card,4,152.28
credit_card,3,72.34
credit_card,5,128.95
credit_card,1,56.85
credit_card,1,20.29
boleto,1,171.75
credit_card,1,85.82
boleto,1,56.05
boleto,1,26.09
credit_card,1,41.17
boleto,1,37.25
credit_card,5,135.13
credit_card,5,477.45
credit_card,2,440.12
credit_card,1,67.7
boleto,1,168.51
boleto,1,31.86
boleto,1,40.87
credit_card,10,109.59
credit_card,3,206.87
credit_card,1,134.38
credit_card,1,56.06
credit_card,3,264.08
credit_card,10,240.77
credit_card,2,91.72
credit_card,4,49.01
boleto,1,107.87
credit_card,3,62.01
credit_card,1,36.69
credit_card,3,35.0
credit_card,8,256.37
credit_card,1,47.84
credit_card,5,125.87
credit_card,1,42.39
credit_card,5,117.53
credit_card,1,43.28
credit_card,4,144.54
boleto,1,126.48
credit_card,4,125.29
credit_card,2,229.74
credit_card,1,124.6
boleto,1,143.86
voucher,1,56.89
boleto,1,46.78
voucher,1,3.98
credit_card,3,72.66
boleto,1,50.1
boleto,1,85.79
boleto,1,63.7
credit_card,10,1586.47
credit_card,3,433.07
credit_card,10,642.02
credit_card,4,263.95
boleto,1,134.99
credit_card,1,57.89
credit_card,1,383.99
boleto,1,159.31
credit_card,1,756.91
credit_card,7,156.22
credit_card,10,132.95
boleto,1,48.27
credit_card,5,107.35
credit_card,10,110.2
credit_card,8,368.92
boleto,1,106.85
credit_card,8,281.5
credit_card,2,54.25
credit_card,5,121.78
credit_card,2,102.26
boleto,1,90.62
boleto,1,75.69
debit_card,1,42.86
credit_card,1,35.7
credit_card,10,444.25
credit_card,1,69.16
voucher,1,30.0
credit_card,2,65.71
credit_card,1,29.29
credit_card,1,37.74
voucher,1,30.0
credit_card,2,145.9
credit_card,1,79.88
credit_card,5,108.0
credit_card,6,348.74
credit_card,6,88.78
credit_card,4,953.71
credit_card,6,125.77
credit_card,3,64.05
boleto,1,127.69
credit_card,1,62.42
credit_card,5,55.69
credit_card,7,146.13
credit_card,5,349.99
credit_card,1,91.28
boleto,1,108.64
credit_card,2,158.98
credit_card,1,20.75
boleto,1,72.9
credit_card,3,543.83
credit_card,2,67.12
credit_card,6,139.07
boleto,1,126.68
credit_card,1,41.42
boleto,1,203.16
credit_card,8,540.02
boleto,1,368.6
credit_card,4,107.78
credit_card,10,387.27
credit_card,10,107.23
credit_card,2,101.25
credit_card,1,26.09
boleto,1,244.35
credit_card,10,117.85
credit_card,3,171.32
credit_card,10,202.44
boleto,1,73.03
credit_card,4,264.67
credit_card,1,68.7
boleto,1,55.13
credit_card,2,92.99
credit_card,3,36.0
credit_card,1,17.87
credit_card,1,58.38
voucher,1,50.0
credit_card,10,1995.69
credit_card,3,130.14
boleto,1,710.23
credit_card,1,68.0
credit_card,5,59.51
credit_card,5,371.94
credit_card,10,667.99
credit_card,1,63.89
credit_card,4,49.34
boleto,1,147.0
credit_card,1,354.64
credit_card,4,59.71
credit_card,8,408.66
credit_card,5,51.66
credit_card,2,386.46
credit_card,2,69.54
credit_card,1,21.94
credit_card,1,52.34
credit_card,1,114.25
credit_card,2,162.83
credit_card,1,172.92
credit_card,7,81.72
credit_card,2,151.79
credit_card,4,243.62
boleto,1,56.42
credit_card,4,45.13
boleto,1,108.64
credit_card,4,64.51
credit_card,8,193.5
boleto,1,110.63
credit_card,5,200.55
credit_card,1,41.71
credit_card,1,54.43
credit_card,3,77.64
boleto,1,280.08
credit_card,5,101.34
credit_card,1,77.57
credit_card,4,60.2
boleto,1,48.1
boleto,1,76.02
credit_card,2,84.56
voucher,1,20.0
credit_card,4,48.16
debit_card,1,265.41
credit_card,5,127.53
credit_card,2,128.73
credit_card,3,37.37
credit_card,5,150.15
credit_card,2,36.16
credit_card,4,198.0
credit_card,5,112.4
credit_card,1,35.4
credit_card,6,189.98
credit_card,2,228.6
credit_card,8,314.21
credit_card,1,22.29
credit_card,8,257.3
credit_card,6,162.99
boleto,1,51.03
credit_card,12,190.09
credit_card,7,374.24
credit_card,5,53.15
credit_card,2,88.2
voucher,1,25.9
credit_card,1,46.81
boleto,1,131.47
credit_card,3,258.71
credit_card,1,84.23
credit_card,10,156.73
boleto,1,69.9
boleto,1,48.13
credit_card,6,187.15
credit_card,3,69.99
voucher,1,25.0
credit_card,2,162.1
credit_card,1,57.11
credit_card,1,154.87
credit_card,4,236.81
credit_card,1,102.53
credit_card,3,65.1
boleto,1,93.64
boleto,1,64.09
credit_card,5,279.4
credit_card,5,205.43
credit_card,4,89.57
boleto,1,75.07
credit_card,4,63.23
credit_card,1,0.52
credit_card,10,231.27
boleto,1,41.69
credit_card,4,69.41
credit_card,1,72.75
credit_card,2,24.29
credit_card,5,88.49
credit_card,7,71.66
credit_card,2,80.81
credit_card,2,132.82
credit_card,7,394.07
credit_card,2,165.5
credit_card,2,98.47
credit_card,2,49.77
credit_card,8,180.91
credit_card,4,40.63
debit_card,1,71.63
credit_card,5,262.94
credit_card,3,62.22
credit_card,5,311.57
debit_card,1,93.22
boleto,1,100.21
credit_card,4,125.43
boleto,1,80.55
credit_card,2,373.44
credit_card,3,62.31
debit_card,1,36.35
credit_card,2,29.38
credit_card,10,102.47
credit_card,3,130.0
credit_card,5,69.13
credit_card,1,86.24
credit_card,1,74.29
credit_card,7,70.72
credit_card,3,199.0
credit_card,3,340.47
credit_card,4,48.74
credit_card,2,28.08
voucher,1,59.9
credit_card,1,166.29
boleto,1,51.1
credit_card,1,67.83
credit_card,3,164.35
boleto,1,79.09
boleto,1,93.69
credit_card,2,59.82
credit_card,3,159.03
credit_card,9,92.57
credit_card,4,42.77
credit_card,8,453.74
credit_card,3,234.08
credit_card,2,67.62
credit_card,1,19.33
credit_card,3,143.18
credit_card,4,112.83
boleto,1,85.92
credit_card,4,102.05
credit_card,3,134.12
credit_card,1,112.13
credit_card,1,70.75
credit_card,7,77.6
credit_card,1,197.04
credit_card,1,93.18
boleto,1,44.72
credit_card,1,26.38
debit_card,1,149.14
credit_card,4,106.32
credit_card,8,246.96
credit_card,1,22.29
credit_card,3,57.48
credit_card,4,105.28
credit_card,8,203.54
credit_card,2,330.4
boleto,1,108.68
boleto,1,415.93
credit_card,10,314.21
credit_card,1,206.08
credit_card,1,27.7
boleto,1,19.48
credit_card,2,121.09
credit_card,1,206.76
credit_card,1,142.21
boleto,1,73.34
credit_card,1,72.62
credit_card,1,86.24
boleto,1,230.1
boleto,1,206.14
boleto,1,212.73
credit_card,1,94.82
boleto,1,126.44
voucher,1,140.08
credit_card,1,68.87
credit_card,2,87.58
credit_card,10,305.19
credit_card,5,161.88
debit_card,1,88.08
credit_card,3,92.5
credit_card,1,43.0
credit_card,2,116.36
boleto,1,64.48
boleto,1,37.69
credit_card,2,150.52
credit_card,6,314.3
credit_card,8,396.35
debit_card,1,98.33
credit_card,1,120.92
credit_card,1,76.17
credit_card,1,104.43
credit_card,1,105.94
credit_card,3,110.04
boleto,1,730.95
credit_card,4,128.77
credit_card,8,82.1
boleto,1,53.39
credit_card,3,61.79
boleto,1,86.83
credit_card,1,45.3
credit_card,1,25.5
voucher,1,103.79
credit_card,6,114.28
credit_card,2,57.78
credit_card,1,124.15
credit_card,3,64.1
credit_card,10,179.92
boleto,1,40.01
credit_card,5,104.27
credit_card,8,307.96
credit_card,2,31.29
credit_card,1,38.13
voucher,1,52.01
credit_card,1,35.05
credit_card,8,186.49
credit_card,4,99.95
credit_card,4,215.62
credit_card,3,206.2
boleto,1,55.06
credit_card,1,21.04
credit_card,1,26.45
credit_card,1,127.53
credit_card,10,223.14
credit_card,2,56.41
boleto,1,566.63
credit_card,2,39.41
credit_card,6,148.64
credit_card,4,64.0
credit_card,3,151.09
boleto,1,93.91
credit_card,2,71.14
credit_card,3,188.06
credit_card,2,257.21
credit_card,4,692.94
credit_card,8,181.1
boleto,1,202.26
credit_card,3,164.15
credit_card,10,137.13
credit_card,1,2.01
boleto,1,272.58
credit_card,4,87.36
voucher,1,16.54
credit_card,4,234.19
boleto,1,86.37
boleto,1,33.0
credit_card,1,10.89
credit_card,4,84.14
boleto,1,43.28
credit_card,1,47.95
boleto,1,76.08
boleto,1,104.37
credit_card,1,69.61
credit_card,3,121.09
credit_card,7,238.65
credit_card,4,181.59
credit_card,2,135.26
credit_card,3,51.09
credit_card,3,1783.44
credit_card,3,145.01
credit_card,10,231.27
boleto,1,70.03
credit_card,10,1432.92
voucher,1,45.24
voucher,1,50.0
credit_card,1,64.01
credit_card,6,148.18
credit_card,1,171.53
credit_card,3,86.15
debit_card,1,22.79
credit_card,2,58.16
boleto,1,149.42
credit_card,1,44.53
credit_card,2,152.82
credit_card,8,82.92
boleto,1,66.69
boleto,1,52.75
credit_card,5,105.94
credit_card,8,413.31
credit_card,3,112.09
credit_card,4,186.36
credit_card,3,165.22
credit_card,3,49.02
debit_card,1,173.68
credit_card,2,205.07
credit_card,1,21.04
credit_card,2,132.68
credit_card,1,36.09
boleto,1,66.44
boleto,1,161.62
credit_card,1,27.75
credit_card,1,91.28
voucher,1,81.93
credit_card,2,167.92
credit_card,1,61.36
