,Nome Unidade Orçamentária,Valor Empenhado (R$),Valor Liquidado (R$),Valor Pago (R$)
1,DEPTO.NAC.DE INFRA±ESTRUT.DE TRANSPORTES-DNIT,"0,0000","938784,7900","937784,7900"
2,FUNDO NACIONAL DE SAUDE,"368104,1000","614361,9600","363113,9800"
3,FUNDO NACIONAL DE SAUDE,"138347,0900","15098,2700","196381,2200"
4,MINISTERIO DA ECONOMIA,"4990,9900","4990,9900","4990,9900"
5,FUNDO NACIONAL DE DESENVOLVIMENTO DA EDUCACAO,"-9374,0000","0,0000","1318,5000"
6,CAIXA DE CONST.DE CASAS DO PESSOAL DA MARINHA,"0,0000","75456,9400","75456,9400"
7,MINISTERIO DAS RELACOES EXTERIORES,"43278,8500","43264,0800","43264,0800"
9,COMPANHIA DE DESENV. DO VALE DO SAO FRANCISCO,"150,0000","150,0000","150,0000"
11,FUNDACAO NACIONAL DE SAUDE,"-3508,3100","63577,3400","42977,2500"
12,AGENCIA NACIONAL DE AVIACAO CIVIL - ANAC,"0,0000","5400,0000","5400,0000"
13,COMANDO DO EXERCITO,"50241,2500","2753,5200","2753,5200"
14,"INST.FED.DE EDUC.,CIENC.E TEC.DO CEARA","-7010,5600","19225,2400","19225,2400"
16,INSTITUTO DE PESQUISA ECONOMICA APLICADA-IPEA,"83610,0000","574835,0000","574835,0000"
17,"INST.FED.DE EDUC.,CIENC.E TEC.DO PIAUI","206316,5600","346943,7800","457110,0200"
18,"INST.FED.DE EDUC.,CIENC.E TEC.FLUMINENSE","-5677,0000","1000,0000","1000,0000"
19,HOSPITAL UNIVERSITARIO DA FUMA,"34229,9200","33803,8800","6769,8000"
20,UNIVERSIDADE FEDERAL DO SUL DA BAHIA - UFESBA,"-58672,3800","16735,3500","4304,9200"
21,COMANDO DO EXERCITO,"-3950,9700","4023,4000","9992,1400"
23,FUNDO NAVAL,"12048,0000","12048,0000","12048,0000"
25,FUNDO DO SERVICO MILITAR,"-32,0000","1482,0000","1482,0000"
29,FUNDACAO UNIVERSIDADE FEDERAL DE TOCANTINS,"0,0000","12327,0000","12327,0000"
30,FUNDO DO EXERCITO,"7,8200","258,5400","258,5400"
32,FUNDO NACIONAL DE DESENVOLVIMENTO DA EDUCACAO,"-80546,8800","986187,5800","5285,3200"
33,COMANDO DA MARINHA,"112015,0100","40634,2200","80426,1800"
34,HOSPITAL UNIVERSITARIO DA FUFSE,"-48721,8500","138545,0000","138163,3400"
35,COMANDO DO EXERCITO,"0,0000","0,0000","528,0000"
37,COMANDO DO EXERCITO,"8002,2000","2144,0000","2144,0000"
38,MINISTERIO DA JUSTICA E SEGURANçA PUBLICA,"-161826,2500","3898,0200","3898,0200"
39,FUNDO NACIONAL DE SAUDE,"30417,2200","14818,7500","171813,1300"
40,UNIVERSIDADE FEDERAL DE MINAS GERAIS,"27375,0000","331317,9000","331317,9000"
