,NOME MUNICÍPIO
SAO PAULO,2476070
RIO DE JANEIRO,1460754
SALVADOR,710979
FORTALEZA,687994
MANAUS,624350
BRASILIA,554987
BELO HORIZONTE,473196
BELEM,432871
RECIFE,390094
CURITIBA,322624
GOIANIA,315608
SAO LUIS,296046
GUARULHOS,295820
NOVA IGUACU,248886
MACEIO,245516
DUQUE DE CAXIAS,243743
SAO GONCALO,239920
PORTO ALEGRE,239172
TERESINA,221681
CAMPINAS,210810
NATAL,204736
JABOATAO DOS GUARARAPES,197218
CAMPO GRANDE,196896
JOAO PESSOA,192970
FEIRA DE SANTANA,167278
OSASCO,149948
ANANINDEUA,144856
ARACAJU,144125
CUIABA,143432
SAO BERNARDO DO CAMPO,142952
BELFORD ROXO,142060
CAMPOS DOS GOYTACAZES,140127
PORTO VELHO,137278
UBERLANDIA,137123
MACAPA,136355
SOROCABA,134633
SAO JOSE DOS CAMPOS,134292
CONTAGEM,131909
SANTO ANDRE,126943
SERRA,119726
BOA VISTA,116753
APARECIDA DE GOIANIA,115848
RIBEIRAO PRETO,114941
OLINDA,113611
SAO JOAO DE MERITI,112610
SANTAREM,109496
CARUARU,108189
CAUCAIA,105389
CAMPINA GRANDE,104805
RIO BRANCO,103562
LONDRINA,100187
VILA VELHA,100022
JUIZ DE FORA,99493
PAULISTA,98311
VITORIA DA CONQUISTA,98301
BETIM,97643
NITEROI,97117
CARIACICA,96361
CARAPICUIBA,95162
PETROLINA,94898
MOGI DAS CRUZES,94837
FLORIANOPOLIS,93966
MONTES CLAROS,93655
ITAQUAQUECETUBA,92962
ANAPOLIS,90706
SAO JOSE DO RIO PRETO,88180
DIADEMA,87853
JOINVILLE,87314
CAMACARI,84670
CASCAVEL,83922
SANTA LUZIA,81103
MAUA,80152
RIBEIRAO DAS NEVES,76901
JUAZEIRO DO NORTE,76845
SAO VICENTE,75651
PALMAS,75085
MARABA,75063
PRAIA GRANDE,74746
GUARUJA,74440
IMPERATRIZ,73794
PIRACICABA,72909
VARZEA GRANDE,72361
MAGE,72216
SUZANO,72089
FRANCA,71342
PONTA GROSSA,70548
JUAZEIRO,70303
PELOTAS,68230
MOSSORO,68111
BAURU,67827
PETROPOLIS,67738
ARAPIRACA,67530
MARINGA,67512
GOVERNADOR VALADARES,67179
FOZ DO IGUACU,66575
CABO DE SANTO AGOSTINHO,66543
ITABORAI,66508
SANTOS,66084
CANOAS,65683
MARACANAU,65615
CAXIAS DO SUL,64723
EMBU,64330
ABAETETUBA,64254
VITORIA,64135
SAO JOSE DE RIBAMAR,63993
BARUERI,62488
SAO JOSE DOS PINHAIS,61908
CABO FRIO,61436
JUNDIAI,61261
TABOAO DA SERRA,60736
PARNAMIRIM,60514
TAUBATE,59909
CASTANHAL,59566
PARAUAPEBAS,59191
UBERABA,58614
SOBRAL,58273
LAURO DE FREITAS,57946
ITAPEVI,57085
MACAE,56918
LIMEIRA,56696
